id	baseMean	baseMean_CK	baseMean_MZM	foldChange(MZM/CK)	log2FoldChange	pval	padj
LOC111360349	133.4418901	87.58816395	179.2956162	2.047030193	1.033532382	0.009573519	0.440110577
LOC111349626	75.79553034	49.86883572	101.722225	2.039795465	1.028424497	0.006173246	0.366585748
LOC111349199	4739.961038	3124.146412	6355.775663	2.034403906	1.024606137	0.019591022	0.621427075
LOC111351221	32.32127623	21.31526177	43.3272907	2.032688652	1.023389254	0.047945083	0.904460337
LOC111349473	631.7614034	417.0956231	846.4271836	2.029336048	1.021007788	0.003136994	0.266931394
LOC111347770	145.2304667	95.90398371	194.5569497	2.028663901	1.020529866	0.021112629	0.6475313
LOC111352109	1268.270477	837.8317514	1698.709203	2.027506359	1.019706439	0.008942503	0.430319419
LOC111358479	491.2696642	325.1998355	657.339493	2.021340177	1.015312137	0.0100551	0.451186244
LOC111353850	125.9959007	83.41450568	168.5772956	2.020958996	1.015040051	0.000300649	0.063824582
LOC111349699	526.9281063	349.0628236	704.7933891	2.019101839	1.013713679	0.045186117	0.896101546
LOC111360972	11869.04737	7868.082309	15870.01243	2.017011491	1.012219303	0.003902805	0.29599809
LOC111350181	1829.562641	1213.577096	2445.548186	2.01515684	1.010892129	0.00966144	0.442050473
LOC111352242	899.0348207	597.4782356	1200.591406	2.009431196	1.00678718	0.015922131	0.561537434
LOC111349502	6946.631699	4618.311544	9274.951855	2.008299303	1.005974295	0.029031233	0.753763559
LOC111349696	10995.09349	7311.537043	14678.64994	2.007601118	1.005472655	0.004476801	0.317306814
LOC111355862	46.5664338	30.9726491	62.1602185	2.006939035	1.004996793	0.007914449	0.410408656
LOC111348387	580.8746397	386.9930184	774.756261	2.00199028	1.001434969	0.004466985	0.317306814
LOC111359477	110.1780112	146.9067607	73.4492618	0.499971965	-1.000080895	0.009264488	0.436437388
LOC111354016	491.5972213	659.1635656	324.030877	0.491578864	-1.024505207	0.002482267	0.236888583
LOC111350322	143.5876858	192.9525057	94.22286596	0.488321546	-1.034096659	0.000149989	0.042412701
LOC111364475	3596.120637	4834.291113	2357.950161	0.487755103	-1.035771128	0.045423214	0.896101546
LOC111358206	6932.53676	9328.249684	4536.823836	0.486353173	-1.039923764	0.041349463	0.871649188
LOC111358278	30.39540383	40.90930355	19.88150411	0.485989796	-1.041002071	0.048871329	0.910488972
LOC111349739	324.6401827	437.577678	211.7026873	0.483805957	-1.047499561	0.003377031	0.272407291
LOC111355428	1347.197392	1815.988596	878.4061877	0.483706885	-1.047795021	0.005517039	0.343565949
LOC111359048	21.87437526	29.51914378	14.22960673	0.48204673	-1.052755086	0.042807207	0.886312422
LOC111348993	546.9265704	738.9712112	354.8819295	0.480237828	-1.058179046	0.032380067	0.788593078
LOC111360203	4656.938035	6295.772513	3018.103556	0.479385739	-1.060741105	0.005744228	0.348578099
LOC111350951	68.2995641	92.34657659	44.25255161	0.479200781	-1.061297836	0.026911637	0.73493522
LOC111362850	23.28662677	31.59562724	14.9776263	0.474041113	-1.076915907	0.032010981	0.785084792
